country,continent,year,lifeExp,pop,gdpPercap,log_gdp,gdp_billions
Algeria,Africa,1957,45.685,10270856,3013.976023,3.479139793061489,30.95611371968569
Algeria,Africa,1962,48.303,11000948,2550.81688,3.4066792822632332,28.061403854402236
Algeria,Africa,1967,51.407,12760499,3246.991771,3.5114811879749945,41.43323524685373
Algeria,Africa,1972,54.518,14760787,4182.663766,3.6214529541240323,61.73940894254384
Algeria,Africa,1977,58.014,17152804,4910.416756,3.69111835304969,84.22741617398381
Algeria,Africa,1982,61.368,20033753,5745.160213,3.7593021441908228,115.09712065266939
Algeria,Africa,1987,65.799,23254956,5681.358539,3.75445219758492,132.11974284466928
Algeria,Africa,1992,67.744,26298373,5023.216647,3.7009819093097804,132.10242504261535
Algeria,Africa,1997,69.152,29072015,4797.295051,3.6809964299690434,139.4670336820978
Algeria,Africa,2002,70.994,31287142,5288.040382,3.7232947629701716,165.44767033336825
Algeria,Africa,2007,72.301,33333216,6223.367465,3.7940254450966644,207.44485195821744
Angola,Africa,1952,30.015,4232095,3520.610273,3.546617951893976,14.899557133311934
Angola,Africa,1957,31.999,4561361,3827.940465,3.5829651746839484,17.460618347372865
Angola,Africa,1962,34,4826015,4269.276742,3.6303543074457933,20.60359359604313
Angola,Africa,1967,35.985,5247469,5522.776375,3.7421574583839643,28.980597821744876
Angola,Africa,1972,37.928,5894858,5473.288005,3.73824830136585,32.26425558257829
Angola,Africa,1977,39.483,6162675,3008.647355,3.4783712868584864,18.541315838474624
Angola,Africa,1982,39.942,7016384,2756.953672,3.4404294682589094,19.343845632962047
Angola,Africa,1987,39.906,7874230,2430.208311,3.385643501763068,19.13601918872553
Angola,Africa,1992,40.647,8735988,2627.845685,3.4195998585587133,22.95682837001178
Angola,Africa,1997,40.963,9875024,2277.140884,3.3573899007297774,22.486820880881215
Angola,Africa,2002,41.003,10866106,2773.287312,3.4429948647284108,30.13483390064707
Angola,Africa,2007,42.731,12420476,4797.231267,3.6809906556268164,59.58389581822309
Argentina,Americas,1952,62.485,17876956,5911.315053,3.771684106385458,105.67631910461867
Argentina,Americas,1957,64.399,19610538,6856.856212,3.836125042422979,134.46663930596205
Argentina,Americas,1962,65.142,21283783,7133.166023,3.8532823322547602,151.82075773650502
Argentina,Americas,1967,65.634,22934225,8052.953021,3.9059551655297824,184.68823649804372
Argentina,Americas,1972,67.065,24779799,9443.038526,3.9751117615378058,233.99659662353628
Argentina,Americas,1977,68.481,26983828,10079.02674,4.003418597401722,271.9707239595607
Argentina,Americas,1982,69.942,29341374,8997.897412,3.9541410373229584,264.01067317912407
Argentina,Americas,1987,70.774,31620918,9139.671389,3.960930581236068,289.0047995385151
Argentina,Americas,1992,71.868,33958947,9308.41871,3.9688759104282534,316.1040976266984
Argentina,Americas,1997,73.275,36203463,10967.28195,4.0400990085793165,397.0535862873929
Argentina,Americas,2002,74.34,38331121,8797.640716,3.944366221991296,337.22343079952265
Argentina,Americas,2007,75.32,40301927,12779.37964,4.106509772017686,515.0336253565662
Australia,Oceania,1952,69.12,8691212,10039.59564,4.001716221289762,87.25625410151567
Australia,Oceania,1957,70.33,9712569,10949.64959,4.039400221133724,106.34922716869671
Australia,Oceania,1962,70.93,10794968,12217.22686,4.086972638306241,131.8845730024405
Australia,Oceania,1967,71.1,11872264,14526.12465,4.162149766561911,172.4579867417076
Australia,Oceania,1972,71.93,13177000,16788.62948,4.225015244466382,221.22377065796
Australia,Oceania,1977,73.49,14074100,18334.19751,4.263261905591632,258.03732917549104
Australia,Oceania,1982,74.74,15184200,19477.00928,4.289522271181811,295.74280430937597
Australia,Oceania,1987,76.32,16257249,21888.88903,4.340223719522035,355.85311929407845
Australia,Oceania,1992,77.56,17481977,23424.76683,4.369675276616451,409.5112349524229
Australia,Oceania,1997,78.83,18565243,26997.93657,4.431330572658713,501.2232529206365
Australia,Oceania,2002,80.37,19546792,30687.75473,4.486965114432396,599.8471586543262
Australia,Oceania,2007,81.235,20434176,34435.36744,4.537004721452689,703.6583588936295
Austria,Europe,1952,66.8,6927772,6137.076492,3.7879615363271912,42.516266683135825
Austria,Europe,1957,67.48,6965860,8842.59803,3.9465798831491665,61.59629991325579
Austria,Europe,1962,69.54,7129864,10750.72111,4.031437595748411,76.65117941622906
Austria,Europe,1967,70.14,7376998,12834.6024,4.1083824193136085,94.6808362355952
Austria,Europe,1972,70.63,7544201,16661.6256,4.221717371300575,125.6986525131456
Austria,Europe,1977,72.17,7568430,19749.4223,4.295554396388218,149.472120217989
Austria,Europe,1982,73.18,7574613,21597.08362,4.334395109796612,163.58955035013906
Austria,Europe,1987,74.94,7578903,23687.82607,4.374525205546535,179.52773606540123
Austria,Europe,1992,76.04,7914969,27042.01868,4.4320391084552915,214.03673954962093
Austria,Europe,1997,77.51,8069876,29095.92066,4.463832103795515,234.80047183203814
Austria,Europe,2002,78.98,8148312,32417.60769,4.510780962228499,264.1487817517193
Austria,Europe,2007,79.829,8199783,36126.4927,4.557825800622185,296.2294006910841
Bahrain,Asia,1952,50.939,120447,9867.084765,3.994188859104682,1.188460758689955
Bahrain,Asia,1957,53.832,138655,11635.79945,4.065796227312996,1.6133617727397502
Bahrain,Asia,1962,56.923,171863,12753.27514,4.105621729285686,2.1918161253858197
Bahrain,Asia,1967,59.923,202182,14804.6727,4.170398810499031,2.9932383358314
Bahrain,Asia,1972,63.3,230800,18268.65839,4.261706654894205,4.2164063564120005
Bahrain,Asia,1977,65.593,297410,19340.10196,4.286458759330677,5.7519397239236
Bahrain,Asia,1982,69.052,377967,19211.14731,4.283553302161179,7.261179715318771
Bahrain,Asia,1987,70.75,454612,18524.02406,4.2677353364072825,8.42124362596472
Bahrain,Asia,1992,72.601,529491,19035.57917,4.279566095046292,10.079167850302472
Bahrain,Asia,1997,73.925,598561,20292.01679,4.307325212989016,12.146009861839191
Bahrain,Asia,2002,74.795,656397,23403.55927,4.369281910990156,15.36202609415019
Bahrain,Asia,2007,75.635,708573,29796.04834,4.474158670185966,21.11267536041882
Bangladesh,Asia,1952,37.484,46886859,684.2441716,2.8352111067723493,32.082059995381
Bangladesh,Asia,1957,39.348,51365468,661.6374577,2.820620084228771,33.985317661090704
Bangladesh,Asia,1962,41.216,56839289,686.3415538,2.8365402935718977,39.011165929147246
Bangladesh,Asia,1967,43.453,62821884,721.1860862,2.858047339313741,45.3062686496704
Bangladesh,Asia,1972,45.252,70759295,630.2336265,2.79950157150347,44.59488709643332
Bangladesh,Asia,1977,46.923,80428306,659.8772322,2.819463144121351,53.07280795381465
Bangladesh,Asia,1982,50.009,93074406,676.9818656,2.830577035339007,63.00968501349184
Bangladesh,Asia,1987,52.819,103764241,751.9794035,2.876205945553351,78.02857205181024
Bangladesh,Asia,1992,56.018,113704579,837.8101643,2.9231456249111223,95.26285201365233
Bangladesh,Asia,1997,59.412,123315288,972.7700352,2.988010184309703,119.95741704845814
Bangladesh,Asia,2002,62.013,135656790,1136.39043,3.055527567698124,154.15907792051968
Bangladesh,Asia,2007,64.062,150448339,1391.253792,3.143406361057001,209.31182213385148
Belgium,Europe,1952,68,8730405,8343.105127,3.9213277159305022,72.83868671628643
Belgium,Europe,1957,69.24,8989111,9714.960623,3.987441044642598,87.32885940077615
Belgium,Europe,1962,70.25,9218400,10991.20676,4.041045377631607,101.32134039638399
Belgium,Europe,1967,70.94,9556500,13149.04119,4.118894085823975,125.658812132235
Belgium,Europe,1972,71.44,9709100,16672.14356,4.221991441245594,161.871509038396
Belgium,Europe,1977,72.8,9821800,19117.97448,4.281441877544825,187.77292174766401
Belgium,Europe,1982,73.93,9856303,20979.84589,4.321802293706518,206.78371798514468
Belgium,Europe,1987,75.35,9870200,22525.56308,4.35267565600983,222.331812712216
Belgium,Europe,1992,76.46,10045622,25575.57069,4.407825333283617,256.9225155860192
Belgium,Europe,1997,77.53,10199787,27561.19663,4.44029806949553,281.1183350911178
Belgium,Europe,2002,78.32,10311970,30485.88375,4.484098789227883,314.3695186534875
Belgium,Europe,2007,79.441,10392226,33692.60508,4.5275345915133105,350.1411665201081
Benin,Africa,1952,38.223,1738315,1062.7522,3.0264320126717377,1.8473980905429996
Benin,Africa,1957,40.358,1925173,959.6010805,2.9820907283067597,1.8473980909494263
Benin,Africa,1962,42.618,2151895,949.4990641,2.9774945409988858,2.0432222885414695
Benin,Africa,1967,44.885,2427334,1035.831411,3.015289076615387,2.514308802188274
Benin,Africa,1972,47.014,2761407,1085.796879,3.0357485889912157,2.998327102248753
Benin,Africa,1977,49.19,3168267,1029.161251,3.012483426203602,3.260657629222017
Benin,Africa,1982,50.904,3641603,1277.897616,3.1064960599355054,4.653595792118448
Benin,Africa,1987,52.337,4243788,1225.85601,3.0884394606106547,5.202273024965879
Benin,Africa,1992,53.919,4981671,1191.207681,3.0759874851178277,5.934204759414952
Benin,Africa,1997,54.777,6066080,1232.975292,3.0909543737120537,7.47932675929536
Benin,Africa,2002,54.406,7026113,1372.877931,3.1376319237991015,9.645995478412203
Benin,Africa,2007,56.728,8078314,1441.284873,3.158749828520096,11.643151767544122
Bolivia,Americas,1952,40.414,2883315,2677.326347,3.4277013118156043,7.7195752162003055
Bolivia,Americas,1957,41.89,3211738,2127.686326,3.3279076025100207,6.833571025294588
Bolivia,Americas,1962,43.428,3593918,2180.972546,3.3386501987305803,7.838236490575228
Bolivia,Americas,1967,45.032,4040665,2586.886053,3.4127772993608403,10.452739933345246
Bolivia,Americas,1972,46.714,4565872,2980.331339,3.4742645495460733,13.607811411462606
Bolivia,Americas,1977,50.023,5079716,3548.097832,3.5499955861630674,18.023329326775713
Bolivia,Americas,1982,53.859,5642224,3156.510452,3.4992072317240126,17.80973902852525
Bolivia,Americas,1987,57.251,6156369,2753.69149,3.439915282436593,16.952740924599812
Bolivia,Americas,1992,59.957,6893451,2961.699694,3.4715410204746604,20.416331717303994
Bolivia,Americas,1997,62.05,7693188,3326.143191,3.5219409417333374,25.58864488328291
Bolivia,Americas,2002,63.883,8445134,3413.26269,3.5331697135430002,28.82546079425046
Bolivia,Americas,2007,65.554,9119152,3822.137084,3.582306259316878,34.85464903383277
Bosnia and Herzegovina,Europe,1952,53.82,2791000,973.5331948,2.988350764353931,2.7171311466868002
Bosnia and Herzegovina,Europe,1957,58.45,3076000,1353.989176,3.1316151925453872,4.164870705376
Bosnia and Herzegovina,Europe,1962,61.93,3349000,1709.683679,3.2329157658468115,5.725730640970999
Bosnia and Herzegovina,Europe,1967,64.79,3585000,2172.352423,3.3369302826794054,7.787883436454999
Bosnia and Herzegovina,Europe,1972,67.45,3819000,2860.16975,3.4563918091082697,10.92298827525
Bosnia and Herzegovina,Europe,1977,69.86,4086000,3528.481305,3.5475878207479483,14.417374612229999
Bosnia and Herzegovina,Europe,1982,70.69,4172693,4126.613157,3.6155937585176763,17.2190898339218
Bosnia and Herzegovina,Europe,1987,71.14,4338977,4314.114757,3.634891693309177,18.71884470598359
Bosnia and Herzegovina,Europe,1992,72.178,4256013,2546.781445,3.4059916770786165,10.839134938078786
Bosnia and Herzegovina,Europe,1997,73.244,3607000,4766.355904,3.6781864680088376,17.192245745728002
Bosnia and Herzegovina,Europe,2002,74.09,4165416,6018.975239,3.779522556717748,25.071535764134428
Bosnia and Herzegovina,Europe,2007,74.852,4552198,7446.298803,3.871940459479793,33.89702651841899
Botswana,Africa,1952,47.622,442308,851.2411407,2.9300526050205478,0.37651076646073556
Botswana,Africa,1957,49.618,474639,918.2325349,2.9629526766648238,0.4358289721324011
Botswana,Africa,1962,51.52,512764,983.6539764,2.9928423519185503,0.5043823475547696
Botswana,Africa,1967,53.298,553541,1214.709294,3.0844723543805377,0.6723913973100539
Botswana,Africa,1972,56.024,619351,2263.611114,3.3548018175910084,1.401969807067014
Botswana,Africa,1977,59.319,781472,3214.857818,3.5071617703478073,2.512321368748096
Botswana,Africa,1982,61.484,970347,4551.14215,3.658120400436404,4.4161871318260495
Botswana,Africa,1987,63.622,1151184,6205.88385,3.79280364302125,7.1441141939784005
Botswana,Africa,1992,62.745,1342614,7954.111645,3.9005916825095475,10.67930165214003
Botswana,Africa,1997,52.556,1536536,8647.142313,3.9368726065692394,13.286645461047767
Botswana,Africa,2002,46.634,1630347,11003.60508,4.041534995144169,17.939694531362758
Botswana,Africa,2007,50.728,1639131,12569.85177,4.0993301562976825,20.60363370161187
Brazil,Americas,1952,50.917,56602560,2108.944355,3.32406512092713,119.3716493905488
Brazil,Americas,1957,53.285,65551171,2487.365989,3.3957396917069675,163.0497532845231
Brazil,Americas,1962,55.665,76039390,3336.585802,3.5233022974337582,253.71194906674077
Brazil,Americas,1967,57.632,88049823,3429.864357,3.5352769450657298,301.99894954785884
Brazil,Americas,1972,59.504,100840058,4985.711467,3.697727141412922,502.7594335035451
Brazil,Americas,1977,61.489,114313951,6660.118654,3.82348196645535,761.344477467542
Brazil,Americas,1982,63.336,128962939,7030.835878,3.8470069602435792,906.7172584535253
Brazil,Americas,1987,65.205,142938076,7807.095818,3.8924895095777403,1115.931255372566
Brazil,Americas,1992,67.057,155975974,6950.283021,3.842002489763631,1084.0771637761375
Brazil,Americas,1997,69.388,168546719,7957.980824,3.900802888311121,1341.2915577501165
Brazil,Americas,2002,71.006,179914212,8131.212843,3.910155329325562,1462.9207512526248
Brazil,Americas,2007,72.39,190010647,9065.800825,3.957406173408569,1722.5986803313838
Bulgaria,Europe,1952,59.6,7274900,2444.286648,3.3881521354267963,17.781940935535197
Bulgaria,Europe,1957,66.61,7651254,3008.670727,3.478374660564344,23.020103934641657
Bulgaria,Europe,1962,69.51,8012946,4254.337839,3.6288319744683792,34.089779369663695
Bulgaria,Europe,1967,70.42,8310226,5577.0028,3.74640086253428,46.3461536706328
Bulgaria,Europe,1972,70.9,8576200,6597.494398,3.8193790301283554,56.5814314561276
Bulgaria,Europe,1977,70.81,8797022,7612.240438,3.8815124973301063,66.96504660237564
Bulgaria,Europe,1982,71.08,8892098,8224.191647,3.9150932220627768,73.1303180959054
Bulgaria,Europe,1987,71.34,8971958,8239.854824,3.9159195600355714,73.92763140702539
Bulgaria,Europe,1992,71.19,8658506,6302.623438,3.7995213601663793,54.571302853663624
Bulgaria,Europe,1997,70.32,8066057,5970.38876,3.776002610999688,48.157496050319324
Bulgaria,Europe,2002,72.14,7661799,7696.777725,3.8863089447639965,58.97116387662727
Bulgaria,Europe,2007,73.005,7322858,10680.79282,4.028603490948318,78.21392914827958
Burkina Faso,Africa,1952,31.975,4469979,543.2552413,2.735003925064697,2.428339520250933
Burkina Faso,Africa,1957,34.906,4713416,617.1834648,2.7904142821961777,2.9090424179237573
Burkina Faso,Africa,1962,37.814,4919632,722.5120206,2.858845076946678,3.5544932569284193
Burkina Faso,Africa,1967,40.697,5127935,794.8265597,2.900272370942091,4.075818934415219
Burkina Faso,Africa,1972,43.591,5433886,854.7359763,2.9318319840337232,4.644537855312901
Burkina Faso,Africa,1977,46.137,5889574,743.3870368,2.871214983588717,4.378232963874324
Burkina Faso,Africa,1982,48.122,6634596,807.1985855,2.906980392190595,5.355436506563958
Burkina Faso,Africa,1987,49.557,7586551,912.0631417,2.960024905370803,6.919413539727277
Burkina Faso,Africa,1992,50.26,8878303,931.7527731,2.9693006939831466,8.27238344067205
Burkina Faso,Africa,1997,50.324,10352843,946.2949618,2.976026527855806,9.796843171206397
Burkina Faso,Africa,2002,50.65,12251209,1037.645221,3.0160488902182916,12.71240847032219
Burkina Faso,Africa,2007,52.295,14326203,1217.032994,3.0853023521971163,17.435461729741778
Burundi,Africa,1952,39.031,2445618,339.2964587,2.530579326856804,0.8297895267329767
Burundi,Africa,1957,40.533,2667518,379.5646281,2.579285733426615,1.0124954776200559
Burundi,Africa,1962,42.045,2961915,355.2032273,2.5504769030305896,1.0520817669882794
Burundi,Africa,1967,43.548,3330989,412.9775136,2.615926405202885,1.3756235550489504
Burundi,Africa,1972,44.057,3529983,464.0995039,2.66661110417941,1.6382633590754336
Burundi,Africa,1977,45.91,3834415,556.1032651,2.7451554449973283,2.1323307012484167
Burundi,Africa,1982,47.471,4580410,559.603231,2.7478802133276887,2.5632122353047104
Burundi,Africa,1987,48.211,5126023,621.8188189,2.793663861516678,3.1874575675142345
Burundi,Africa,1992,44.736,5809236,631.6998778,2.800510792881718,3.669693671311361
Burundi,Africa,1997,45.326,6121610,463.1151478,2.665688986345575,2.835010319923958
Burundi,Africa,2002,47.36,7021078,446.4035126,2.649727603261053,3.134233881438583
Burundi,Africa,2007,49.58,8390505,430.0706916,2.6335398473202094,3.608510288223258
Cambodia,Asia,1952,39.417,4693836,368.4692856,2.566401292329748,1.7295343976435615
Cambodia,Asia,1957,41.366,5322536,434.0383364,2.6375280902306697,2.3101846708691105
Cambodia,Asia,1962,43.415,6083619,496.9136476,2.6962809246907486,3.0230333078986646
Cambodia,Asia,1967,45.415,6960067,523.4323142,2.718860530389353,3.643123976797051
Cambodia,Asia,1972,40.317,7450606,421.6240257,2.6249253506191907,3.141354495624574
Cambodia,Asia,1977,31.22,6978607,524.9721832,2.7201362919720538,3.663574552484803
Cambodia,Asia,1982,50.957,7272485,624.4754784,2.79551538938004,4.541488549531824
Cambodia,Asia,1987,53.914,8371791,683.8955732,2.8349897925895373,5.7254308046556
Cambodia,Asia,1992,55.803,10150094,682.3031755,2.8339773925299694,6.925441367823497
Cambodia,Asia,1997,56.534,11782962,734.28517,2.8658647570622273,8.65205425527354
Cambodia,Asia,2002,56.752,12926707,896.2260153,2.952417546291209,11.585251105560618
Cambodia,Asia,2007,59.723,14131858,1713.778686,3.2339547372751722,24.21887703397859
Cameroon,Africa,1952,38.523,5009067,1172.667655,3.069174946428669,5.873970852627885
Cameroon,Africa,1957,40.428,5359923,1313.048099,3.1182806352651684,7.037836705936377
Cameroon,Africa,1962,42.643,5793633,1399.607441,3.146006242739598,8.108811857223154
Cameroon,Africa,1967,44.799,6335506,1508.453148,3.1785318256936015,9.556813969872888
Cameroon,Africa,1972,47.049,7021028,1684.146528,3.226379874297507,11.824439929190785
Cameroon,Africa,1977,49.355,7959865,1783.432873,3.251256767481872,14.195884905642146
Cameroon,Africa,1982,52.961,9250831,2367.983282,3.3743786319356888,21.90581315260734
Cameroon,Africa,1987,54.985,10780667,2602.664206,3.4154181393391547,28.0584561177054
Cameroon,Africa,1992,54.314,12467171,1793.163278,3.25361983641433,22.355673217746535
Cameroon,Africa,1997,52.199,14195809,1694.337469,3.2289999150430573,24.052491091467424
Cameroon,Africa,2002,49.856,15929988,1934.011449,3.28645904069983,30.808779174432612
Cameroon,Africa,2007,50.43,17696293,2042.09524,3.3100759930113757,36.13751570094532
Canada,Americas,1952,68.75,14785584,11367.16112,4.055652015799267,168.0701155812941
Canada,Americas,1957,69.96,17010154,12489.95006,4.096560701888164,212.45597397290925
Canada,Americas,1962,71.3,18985849,13462.48555,4.129125250154979,255.59671781698194
Canada,Americas,1967,72.13,20819767,16076.58803,4.206193882909004,334.71081693958905
Canada,Americas,1972,72.88,22284500,18970.57086,4.278080399819484,422.74968632967
Canada,Americas,1977,74.21,23796400,22090.88306,4.344213076687185,525.683489648984
Canada,Americas,1982,75.76,25201900,22898.79214,4.35981257488279,577.0930696330661
Canada,Americas,1987,76.86,26549700,26626.51503,4.425314328200769,706.9259860919909
Canada,Americas,1992,77.95,28523502,26342.88426,4.4206633237626605,751.3913118758785
Canada,Americas,1997,78.61,30305843,28954.92589,4.461722457696081,877.5034380989753
Canada,Americas,2002,79.77,31902268,33328.96507,4.522821828170987,1063.2695758257787
Canada,Americas,2007,80.653,33390141,36319.23501,4.560136692425188,1212.7043779960363
Central African Republic,Africa,1952,35.463,1291695,1071.310713,3.029915447835549,1.383806691428535
Central African Republic,Africa,1957,37.464,1392284,1190.844328,3.075854992457289,1.657993504365152
Central African Republic,Africa,1962,39.475,1523478,1193.068753,3.0766654714894144,1.817613997682934
Central African Republic,Africa,1967,41.478,1733638,1136.056615,3.0553999748340015,1.96951091791537
Central African Republic,Africa,1972,43.457,1927260,1070.013275,3.0293891657445404,2.0621937843765
Central African Republic,Africa,1977,46.775,2167533,1109.374338,3.0450781155775246,2.404605486968154
Central African Republic,Africa,1982,48.295,2476971,956.7529907,2.980799828453346,2.3698494121271696
Central African Republic,Africa,1987,50.485,2840009,844.8763504,2.9267931536025182,2.399456439023153
Central African Republic,Africa,1992,49.396,3265124,747.9055252,2.8738467416136055,2.442004280063125
Central African Republic,Africa,1997,46.066,3696513,740.5063317,2.869528776308429,2.737291281711362
Central African Republic,Africa,2002,43.308,4048013,738.6906068,2.868462576561444,2.9902291793042886
Central African Republic,Africa,2007,44.741,4369038,706.016537,2.8488148736349985,3.084613078781406
Chad,Africa,1952,38.092,2682462,1178.665927,3.0713907290818487,3.161726559872274
Chad,Africa,1957,39.881,2894855,1308.495577,3.116772258968456,3.787904963556335
Chad,Africa,1962,41.716,3150417,1389.817618,3.1429578127051285,4.378505050646707
Chad,Africa,1967,43.601,3495967,1196.810565,3.0780254143279975,4.184010240491355
Chad,Africa,1972,45.569,3899068,1104.103987,3.0430099781518227,4.3049765243841165
Chad,Africa,1977,47.383,4388260,1133.98495,3.0546072907338493,4.9762207966870005
Chad,Africa,1982,49.517,4875118,797.9081006,2.9019528741820224,3.8898961435808705
Chad,Africa,1987,51.051,5498955,952.386129,2.9788130615095882,5.237128465995195
Chad,Africa,1992,51.724,6429417,1058.0643,3.024512061164805,6.8027365975131
Chad,Africa,1997,51.573,7562011,1004.961353,3.002149360759925,7.599528805960883
Chad,Africa,2002,50.525,8835739,1156.18186,3.063026151197457,10.21572115149454
Chad,Africa,2007,50.651,10238807,1704.063724,3.23148583131337,17.44757958573727
Chile,Americas,1952,54.745,6377619,3939.978789,3.5954938837938353,25.127683584323393
Chile,Americas,1957,56.074,7048426,4315.622723,3.635043471117223,30.418347406984
Chile,Americas,1962,57.924,7961258,4519.094331,3.6550514068335684,35.9776758954284
Chile,Americas,1967,60.523,8858908,5106.654313,3.7081364599628714,45.23938074667021
Chile,Americas,1972,63.441,9717524,5494.024437,3.7398905867974395,53.38831432313399
Chile,Americas,1977,67.052,10599793,4756.763836,3.6773115900854365,50.420712011485946
Chile,Americas,1982,70.565,11487112,5095.665738,3.707200931708902,58.53448304696865
Chile,Americas,1987,72.492,12463354,5547.063754,3.744063157378977,69.13501922667092
Chile,Americas,1992,74.126,13572994,7596.125964,3.8805921578839024,103.10217213261622
Chile,Americas,1997,75.816,14599929,10118.05318,4.005096957709418,147.72285804622425
Chile,Americas,2002,77.86,15497046,10778.78385,4.0325697629816,167.0393091475071
Chile,Americas,2007,78.553,16284741,13171.63885,4.119639814387093,214.49672721778785
China,Asia,1952,44,556263527,400.448611,2.6025467916035643,222.75495673711103
China,Asia,1957,50.54896,637408000,575.9870009,2.7604126822060184,367.1387222696672
China,Asia,1962,44.50136,665770000,487.6740183,2.688129618397564,324.678731163591
China,Asia,1967,58.38112,754550000,612.7056934,2.7872519159133398,462.31708095497
China,Asia,1972,63.11888,862030000,676.9000921,2.8305245731879944,583.508186392963
China,Asia,1977,63.96736,943455000,741.2374699,2.8699573649904884,699.3241971645044
China,Asia,1982,65.525,1000281000,962.4213805,2.9833652624303233,962.6918209079205
China,Asia,1987,67.274,1084035000,1378.904018,3.139534037094122,1494.7802171526298
China,Asia,1992,68.69,1164970000,1655.784158,3.219003723089541,1928.93887054526
China,Asia,1997,70.426,1230075000,2289.234136,3.359690213282962,2815.9296798402
China,Asia,2002,72.028,1280400000,3119.280896,3.49405448539833,3993.9272592384004
China,Asia,2007,72.961,1318683096,4959.114854,3.695404166746605,6539.500929092309
Colombia,Americas,1952,50.643,12350771,2144.115096,3.3312480945543395,26.481474548339015
Colombia,Americas,1957,55.118,14485993,2323.805581,3.366199790400363,33.66263137972693
Colombia,Americas,1962,57.863,17009885,2492.351109,3.3966092233643916,42.39460574371247
Colombia,Americas,1967,59.963,19764027,2678.729839,3.4279289154193675,52.942488863701655
Colombia,Americas,1972,61.623,22542890,3264.660041,3.513837963557577,73.5948721916585
Colombia,Americas,1977,63.837,25094412,3815.80787,3.581586499391742,95.75545480262244
Colombia,Americas,1982,66.653,27764644,4397.575659,3.6432133201030172,122.09712263520039
Colombia,Americas,1987,67.768,30964245,4903.2191,3.6904813000981016,151.82447750107949
Colombia,Americas,1992,68.421,34202721,5444.648617,3.735969856796634,186.22179759028685
Colombia,Americas,1997,70.313,37657830,6117.361746,3.7865641629641145,230.36656867937114
Colombia,Americas,2002,71.682,41008227,5755.259962,3.7600649452572528,236.01300696570738
Colombia,Americas,2007,72.889,44227550,7006.580419,3.8455061110473117,309.88388581034343
Comoros,Africa,1952,40.715,153936,1102.990936,3.042571943572232,0.169790012724096
Comoros,Africa,1957,42.46,170928,1211.148548,3.08319741285422,0.20701919901254398
Comoros,Africa,1962,44.467,191689,1406.648278,3.148185518885142,0.269639001761542
Comoros,Africa,1967,46.472,217378,1876.029643,3.2732396963509443,0.40780757173605403
Comoros,Africa,1972,48.944,250027,1937.577675,3.287259121835225,0.484446733347225
Comoros,Africa,1977,50.939,304739,1172.603047,3.069151018361116,0.35733787993973304
Comoros,Africa,1982,52.933,348643,1267.100083,3.102810919364899,0.441765574237369
Comoros,Africa,1987,54.926,395114,1315.980812,3.1192495569806185,0.5199624425525681
Comoros,Africa,1992,57.939,454429,1246.90737,3.0958341918970893,0.56663086924173
Comoros,Africa,1997,60.66,527982,1173.618235,3.069526848703626,0.6196493029517699
Comoros,Africa,2002,62.974,614382,1075.811558,3.0317362058211357,0.660959256627156
Comoros,Africa,2007,65.152,710960,986.1478792,2.993942045067959,0.7011116961960321
